,business_id,category,stars,city,name,review_count
56,-D_L4GHXJQvy2wv0RkrupA,American (Traditional),2.5,St. Louis,Church's Chicken,21
57,-DcAq3aOYlMTM0vzOIAMMw,American (Traditional),3.5,Malvern,Cedar Hollow Inn Restaurant & Bar,73
58,-DffuTBxcKochiDa4QKPwQ,Pizza,1.5,Glenside,Domino's Pizza,25
59,-DlF6neBa1HKx7aFi3ZxOg,Coffee & Tea,4.5,Edmonton,Reinette Cafe & Patisserie,44
60,-EAUflIYeDktN8f7wHpHOg,American (New),3.5,Indianapolis,The Tailgate,38
61,-EHrU_DwtX2Jv4NbAMppTA,Seafood,4.0,Tampa,Yummy House China Bistro,815
62,-F-30mTCP0dUr_mm57NxUQ,Nightlife,4.5,Wilmington,Makers Alley,12
63,-F7XzFOkZkh_J66oKTRhrw,Cafes,4.5,St Louis,Cafe Dolce,18
64,-FIYPnxsg3kuHXx46zY18w,Breakfast & Brunch,2.0,Tampa,Denny's,50
65,-FM4CxOg4XXmX_Ebky_SiQ,Breakfast & Brunch,4.0,Santa Barbara,Finch & Fork,1405
66,-FYgaeBm9xNhF4_m8bCC0A,Event Planning & Services,3.5,Saint Louis,Cravings,49
67,-FasKNAqishyfjAarVgJtw,American (Traditional),2.5,Madeira Beach,The Hut Bar and Grill,376
68,-FplUfMbM6YNKtwppNddxQ,Bars,3.0,High Ridge,Jilly's Cafe & Steakhouse,61
69,-FrJ1Y-s31IQkqnbajBHaA,Nightlife,4.5,St Petersburg,Mary Margaret's Olde Irish Tavern,34
70,-G0iVQaYvpZETVKwPVdR9A,Seafood,3.0,Newark,Crab Du Jour - Newark,68
71,-G2E_TAWXZehcQBirPGwZw,Bars,3.0,Boise,Tastings Wine Market & Wine Bar,10
72,-HWc5-NQLKBIIlBcDMfKCw,Pizza,2.5,Tampa,Pizza Hut,19
73,-HbvKXJ7yMsOefB6SHd3KA,Nightlife,2.5,Saint Petersburg,Buffalo City Bar & Grille,45
74,-HcABf2Y81fglisWWXPYdQ,American (New),4.0,Indian Rocks Beach,Salt Public House,223
75,-HewctWQ0P3HqKCr76bU-g,Nightlife,4.0,Philadelphia,Dawson Street Pub,76
76,-IQsXtexaUmIfSBkhBZrKQ,Bars,4.0,Edmonton,Chop Steakhouse & Bar,74
77,-IabZS0yj6jdb4f4FnKu6w,Sandwiches,3.5,Warminster,Crafty's Taproom Warminster,37
78,-IvBAqkaQcDt-fj-KhOFpQ,Nightlife,4.0,St. Petersburg,The Tap Room At The Hollander,257
79,-J0tPzkwPnyulSBE_s863Q,Sandwiches,4.5,Tampa,Bel Mar Bar And Grill,81
80,-J5blpzmnpQZpmb85pWAZw,Burgers,3.0,Joelton,Dairy Queen Grill & Chill,6
81,-K2Gmr6UXxsBdH7Ep6oDBg,Salad,3.5,Saint Louis,The Woman's Exchange,19
82,-KJuzqptSAbZtTRgcyFduQ,Nightlife,3.0,Saint Louis,Weber's Front Row,93
83,-KNgMklrxgRX2-T6xXeTZA,Italian,3.5,Nashville,Sal's Pizza,150
84,-KWel73upKHxstRCr9JGLw,Bars,3.5,Philadelphia,Smokey Joe's Tavern,94
85,-K_FDDqmOt6hJLTOPgpnlA,Italian,2.5,Saint Charles,Fazoli's,32
86,-Laxqy_xe75r1onAt9XNaQ,Pizza,3.0,Tucson,Hungry Howie's Pizza,12
87,-Lfib0jjHweCly1-FLM_og,American (New),3.0,Ashland City,Sidelines Grill,39
88,-Ll6x0_5Fr_bA72f7u4ngg,Nightlife,4.5,Springfield,Bink's Bar and Grill,8
89,-M9uwwh6jHbzjHOm2N5fHg,American (Traditional),4.0,New Castle,The Legend Restaurant and Bakery,38
90,-MRgqfCoHgUNdvszLRgDcw,Nightlife,3.0,O'Fallon,Syberg's O'Fallon,93
91,-Mhf-oRV5HcckZ2wjR9ZaA,Chicken Wings,3.5,Greenwood,Jack's Pizza,13
92,-MqloFCBP89OWko_A6i1_A,Nightlife,4.0,Upper Darby,J D McGillicuddys,15
93,-OWsJkkKmcMA8ecGLSUg7w,Japanese,4.0,Reno,Ramen 4 Real,345
94,-Om8XgP9GZ4UUFbgTRI4YQ,Bars,4.0,Philadelphia,Martha,155
95,-P7CxFXqAyZ7_ep4r4W-Zg,Event Planning & Services,2.5,Nashville,Cracker Barrel Old Country Store,117
96,-POGfk-IagdVdO8Q3emdGQ,Japanese,4.0,Bala Cynwyd,Maki-San,22
97,-PTWFicakClBDK-zyQ5hjA,Cafes,4.0,Newark,First Watch,166
98,-Pq_I1Dqc7W0xf3A6SJTpQ,Salad,3.5,North Wales,Zoes Kitchen,67
99,-PqeUUIN8Qgqhv5KMiRfHA,Sandwiches,4.5,Philadelphia,Hue Fusion Food Market,30
100,-PuFGEYEx1wPjqoxfE_k4Q,Mexican,4.5,Wilmington,El Diablo Burritos,23
101,-QbbFXdiWQb2vKaDIky4Pw,Breakfast & Brunch,2.5,Sherwood Park,Tim Hortons,11
102,-QpRF-N2_Pga52VgNMipNA,Bars,3.5,Brandon,The Forge Irish Pub,101
103,-RCy49doG-2XARGzr9Do5Q,American (Traditional),3.5,Nashville,LongHorn Steakhouse,70
104,-R_Iq2rBvO9oTcZN5Ex6XQ,Breakfast & Brunch,3.0,St Pete Beach,Gayles Restaurant,58
105,-RpUSbVtSGO9LZwMzGogww,Nightlife,3.0,Philadelphia,Tina’s tacos,46
106,-SS3ep20HKhuOhzDkkt9aA,Burgers,4.0,Summerland,Tinker's Burgers,201
107,-T-hEoNi7KRHtKEUWeckUw,Event Planning & Services,4.5,Boise,Base Camp Pong + Axe,53
108,-T2221hiXtMFXkNXPAcVCA,Chicken Wings,3.0,Glassboro,Crown Fried Chicken,11
109,-T5SfUI_QqgBrkq4D8Jn7w,Event Planning & Services,3.5,Westmont,Keg & Kitchen,359
110,-TRXiliBZ2O2_BKyKQ32HA,Sandwiches,4.0,Boise,Gyro Shack,67
111,-TW-0EqgnzUNHzV9VPSLoQ,Seafood,4.0,Philadelphia,Nori Ramen & Poke Bowl,15
112,-TjT3y-Glfnbt6LbKETAYg,American (Traditional),4.0,Santa Barbara,Benchmark Eatery,544
113,-Tskf8WK17rb3ZfeFuRSWA,Seafood,4.0,New Orleans,Palace Café,1822
114,-UcTo6lcikO1IPmh4t2ObA,Steakhouses,4.5,Merchantville,Sakura,73
115,-Uzw3Hvy1KBNxak9vWsYyQ,Seafood,3.0,West Deptford,Riverwinds Restaurant,273
116,-VXcrZIhuVElGIgJ03Hj9Q,Mexican,4.5,Granite City,Inn Between,5
117,-VbtijUhH4xVP7cZbEo6-Q,Nightlife,3.5,Newark,Ted's Montana Grill - Christiana,149
118,-WAOPYXWLomXvcX5Jtbz0A,Event Planning & Services,4.5,Nashville,Tito's Mexican Restaurant - Nolensville,97
119,-WfGgYMcJKttsCu7WDrBrg,Coffee & Tea,3.5,Indianapolis,Mikie's Pub,64
120,-Wvkgm0KtEXaCGlSc-Zalg,Breakfast & Brunch,3.0,Ruskin,Fiore's Restaurant,42
121,-Xzvm1LxWyO7QZu9Q0UcSw,Breakfast & Brunch,2.5,Reno,Subway,26
122,-YTipfQ0Yj0iF7m921rhmQ,American (Traditional),4.5,Philadelphia,Foose Grill,11
123,-YxrHNjPHfha1h2Kvm_G0w,Bars,5.0,New Orleans,The Blue Flamingo Sports Bar & Grill,5
124,-_0w82rV27l51N3ABkCI0A,Pizza,4.5,Philadelphia,Prima Pizza Taqueria Mexicana,126
125,-_arFpHzoPHvh5p-YKw5fQ,Seafood,4.0,Tampa,Krispy Krab 2,67
126,-_mCgBtlEGbzbTsjnuXm3Q,Pizza,2.0,Philadelphia,Little Caesars Pizza,5
127,-_oHNNTvb4gC1PXWHG8tVw,Nightlife,3.5,Indianapolis,Raceway Pub,17
128,-aOD9iyZtkR9NS1l_-SJGg,Pizza,3.0,Bala Cynwyd,Boston Style At Merion Pizza,42
129,-aXBwEc28UdpcNtl6B6sGA,Coffee & Tea,4.5,Tampa,Willa's,62
130,-aZpjNPSNfTXYkLMkQDiKw,Sandwiches,4.5,Boise,Spitfire Pizza,196
131,-ajaASaDA_77I6pK3D4YgQ,Mexican,2.0,Mount Laurel,Chipotle Mexican Grill,101
132,-b3VxSmRw1Qot8dtDLdluQ,Breakfast & Brunch,3.5,Tampa,Denny's,71
133,-bOcJEs8imqtSXwG644k1g,Event Planning & Services,3.0,Smyrna,Cracker Barrel Old Country Store,83
134,-bUlpYP74Ei8VkSGpsltNQ,Sandwiches,2.5,St Louis,Subway,7
135,-batkL1-Uy3AREDdw3Dqtg,American (New),3.0,Mount Ephraim,Spread Eagle Tavern,14
136,-cE9GrThz6HHn2zdpoqY_w,Breakfast & Brunch,3.5,Mount Laurel,Cracker Barrel Old Country Store,204
137,-dEuJqTHuE6rv8MrndqoXA,Sandwiches,3.0,Brandon,Jimmy John's,32
138,-dwqsjGDBnzzv2qQYyIC3g,Cafes,4.0,Franklin,First Watch,114
139,-dzKS5d4Xh2UrN4ErpP0EA,American (New),4.5,Saint Louis,The Grand Hall,40
140,-e1BUAOBk9RAu89c6uTyGA,Steakhouses,4.0,Reno,Texas Roadhouse,697
141,-e25gkrazUCBqcSdgsmHGQ,Pizza,3.5,Brentwood,Papa John's Pizza,12
142,-e6JPq8mFkMQQoWyANSgrQ,Sandwiches,4.0,New Port Richey,The Fish Guy,143
143,-e7vSLH84kk7mzHsesL0Qg,Nightlife,4.0,New Orleans,Pirates Alley Cafe,251
144,-eJJKj0ClOvumIYksYSdcQ,Breakfast & Brunch,4.0,Wilmington,Puff Daddy's Sandwich Shop,5
145,-eKkqO8t3wGe7MqGGEapUg,Breakfast & Brunch,4.0,Saint Albert,Toast,56
146,-ebwX4cjBDsZtPnvW1M_BA,Italian,3.0,St. Louis,The Old Spaghetti Factory,309
147,-ejuzGbu3ZHUndhLTQafJg,Nightlife,3.5,Nashville,Saint Anejo,851
148,-f43-rglIkI4AIowaJF0sQ,Nightlife,3.0,Sahuarita,Pub 1922,250
149,-fEZQoE-pdN_uvXdr3WR_g,American (Traditional),2.5,Indianapolis,TGI Fridays,92
150,-fJHTVafUBfsTOH_bopDBA,Nightlife,3.5,Clearwater,Spotted Donkey Cantina,351
151,-fJPJP7iOd1ukDNqTSINIg,Burgers,4.0,New Orleans,Riccobono’s Panola St. Cafe,217
152,-fK9wuD1tw9TPDta91WgTA,Breakfast & Brunch,4.5,Tampa,Girl & A Grill,23
153,-fSp2tpieaiHOtBt7SXP9Q,Steakhouses,2.5,Waterloo,Applebee's Grill + Bar,16
154,-fxH1XplVLVtWg2ZJWwRdA,Sandwiches,4.5,Santa Barbara,Sam's To Go,87
155,-gFkkYh0tqQcgZh3z0yyYw,Coffee & Tea,5.0,Oro Valley,Wow Wow  Hawaiian Lemonade,30
156,-hKE37MKLbJRCxxrxhb01w,Pizza,3.0,Lithia,Marco's Pizza,8
157,-hVMfjPPEsSnga_gnYJx2w,Bars,4.0,Reno,Flowing Tide Pub 3,102
158,-halGT88LFZtC0Z-UXjJpw,Mexican,4.0,Harvey,La Conquistadora Restaurant,13
159,-i0FqsGq2B-3FR-p68JfDw,American (Traditional),4.0,Plainfield,Metro Diner,166
160,-iXlYo2AI1iHgpeZnv5sPw,Burgers,1.5,Cherry Hill,McDonald's,20
161,-imlMPrEJ8cc99qjEclKVA,American (New),2.0,O'Fallon,Steak ’n Shake,72
162,-k7ilyGMpikPlh98YVOX-Q,Chicken Wings,3.5,Mt. Juliet,NY Pizzeria,23
163,-kFTv6W5q8-SM5RFkV_mbw,Sandwiches,2.5,West Chester,Wawa Food Markets,6
164,-kHHi8y4kaTI6WUVdJSdvQ,Bars,3.5,Saint Louis,Fitz's,689
165,-kWKHxA5tcrCfbfx-_OLhQ,Nightlife,3.0,Saint Louis,Field House Pub & Grill,85
166,-l3G5kG-LuiKe6Eqy3KKZw,Burgers,4.0,Meridian,Sids Garage,194
167,-lT5o2BF6ZvSsh8PvpVOgQ,Salad,4.0,Philadelphia,Goldie,53
168,-lVTNjVoTMOkD-eT--u0oA,Mexican,3.5,Saint Charles,El Rancho Nuevo,66
169,-loV4cB2Uh9TCltTRgGzWQ,Coffee & Tea,4.0,Santa Barbara,Renaud's Patisserie & Bistro,379
170,-mJ1AvGWrjv29RVcloPLGw,Sandwiches,4.0,Franklin,Chicken Salad Chick,43
171,-mcTFLh291MWYECT2bAr3Q,Seafood,3.5,Metarie,Jaeger's Seafood & Oyster House,199
172,-mitV3FhrCz3m2wk8ldKDg,American (Traditional),4.0,Indianapolis,Triton Brewing Company,150
173,-nIXhxPvxST6bTuj9jo1UQ,Italian,4.5,Philadelphia,DaMò Pasta Lab,177
174,-nUV-Z7_RdHY1dLsnuo0xQ,American (New),3.0,Nashville,Ten Bar and Grille,20
175,-nkY7ja6K_Zu4DLC_VeeIQ,Mexican,3.5,Mccordsville,Chicago's Pizza McCordsville,32
176,-o5PhLJsuoOaA_xHoVi2cw,American (New),4.5,New Hope,Mechanic Street Station,17
177,-oJ644ZmWKrMGoeU813RbQ,Chicken Wings,4.0,Warrington,BurgerIM,43
178,-oLSzuQLu6ZNb7sHYbdiVQ,Burgers,4.5,Palm Harbor,Clear Sky Club Haus,36
179,-ovvV-tXLQdXyYgdCBZm7Q,Mexican,3.5,Chalfont,Tu Casa Hispanic & American Restaurant,95
180,-pR5HJvIylQU1YqAf4nQcA,Salad,3.5,Greenwood,Ari’s Pancake House,14
181,-pRU97z3uPU_M7yUf5yzMg,Event Planning & Services,3.5,Tucson,Micha's,131
182,-q0ziFleHQq3rPEhSPBWuw,Salad,4.0,Malvern,Zoup!,12
183,-q4YqKsWJY6NtkQdnNeL1Q,Breakfast & Brunch,4.0,St. Louis,The Barn,342
184,-qEk9byAfXQvKNVK1tCitw,Cafes,3.0,Hendersonville,Ruby's Kitchen,25
185,-qXHPxXkzTxYSelS4nLOhg,Breakfast & Brunch,4.5,Warminster,Bullard's American Cafe,107
186,-qk__vjJxfJrCWn3UaMv_Q,Desserts,3.0,Cherry Hill,The Cheesecake Factory - Cherry Hill,455
187,-qtgI1xDDSqxtTtPn3ERHw,Steakhouses,3.5,Fishers,Texas Roadhouse,158
188,-qzHEErYuwly3XBGlVZy8g,Pizza,4.0,Reno,Huntsman Brewing,44
189,-r6nmLB5Vi2TLQCxh0_dtw,Salad,4.0,Santa Barbara,South Coast Deli- Carrillo,215
190,-rCB_kCW-u84S-CQir-lng,Event Planning & Services,4.5,Saint Louis,PuraVegan,137
191,-rRJS6-a9-yyOCMEG3ONFQ,Bars,4.0,Tampa,Crave Restaurant & Bar,12
192,-rTJCKclkU_ZnoQb4oKa9w,Breakfast & Brunch,4.5,Saint Petersburg,Fray's Donut House,60
193,-rwfGlw6T5czqQO4uZGWYw,Breakfast & Brunch,4.0,Glenside,Moonlight Diner,80
194,-s1TSRhuQXh0RQJhaFB1vA,Burgers,3.0,Boise,Burger King,12
195,-s6EMVPCBrsocFDuiMMqxQ,Event Planning & Services,3.5,New Orleans,Cornet,548
196,-s_ovV4hkwgfRdjEp0ZXMQ,Pizza,2.0,Alton,Papa John's Pizza,5
197,-sfymVvHA9TS_8V6kvvz5A,Pizza,4.0,Lansdale,Frank's Pizza,55
198,-t29rrypP0eQdTeQ3YErdg,Mexican,3.5,Reno,Super Burrito,226
199,-tRhEoFo5viTTPX316ut6w,Steakhouses,2.0,Largo,Steak ’n Shake,101
200,-uVvRy08ry6C_6vkxih7vQ,Mexican,4.5,New Hope,Los Catrines Cocina Mexicana,58
201,-uhn-iY4lJvWqoBXDghjZA,Breakfast & Brunch,4.5,Dublin,Brown's Doughnut  & Pastry,29
202,-v8dtO9BZmKidXLMohiQhQ,Bars,3.0,Philadelphia,Urban Saloon,320
203,-vXGKRBI9qOtNLoptRyaHQ,Desserts,2.0,Voorhees Township,Friendly's,53
204,-vbvT-Act1BqND2QfF7vlA,Burgers,2.0,MADISON,Sonic Drive-In,12
205,-vpQBrtuwoxnfYmd4zVqzQ,Nightlife,4.5,St. Albert,Riverbank Bistro,15
206,-wjASAa3rySsmY9CIGRm9A,Mexican,4.0,Saint Louis,Locoz Tacos,17
207,-x-niT6JolhXi6VuKclgxw,Sandwiches,2.0,Edmonton,Subway,5
208,-x7YizC9UmmjMuSGxrw1LA,Breakfast & Brunch,3.0,White House,Waffle House,18
209,-xUj6GtnPLmf5zwHz7ZILg,Event Planning & Services,2.5,West Chester,QDOBA Mexican Eats,25
210,-xeTwslZeVQ5MhcXIVIMSQ,Nightlife,3.0,Lindenwold,Don Tequila,79
211,-xiLPlI6JVm-W2DFWpN9Sg,Sandwiches,2.5,Tampa,Subway,8
212,-xtnwq4VBA2XFobjDGz0Ww,Seafood,3.0,Tucson,Red Lobster,124
213,-xxPdDMPm80ogHx_hgishw,Chicken Wings,4.0,Tucson,Wings & Rice,233
214,-y05MW4mCci-eSv2yJkzzQ,American (Traditional),2.5,New Orleans,Popeyes Louisiana Kitchen,14
215,-ygugwY5-_bYrOwN_jo9Ag,Pizza,3.5,Ewing,Special Pizza City,28
216,-ypNsJk3pCyI_mehvMcrWQ,Chicken Wings,2.0,Saint Louis,Domino's Pizza,14
217,-z488XvNmHIn3yv-3N13oA,Burgers,2.5,Brentwood,Wendy's,23
218,-zbTnIz1zPNPmKpO0bmEvw,Chicken Wings,3.0,New Port Richey,Buffalo Wild Wings,172
219,-zsvmEbkd-K9K2DAAKqiEQ,Mexican,4.0,Clearwater Beach,Salty's Island Bar & Grille,599
220,-ztdG-hhxduK5Cgk6gTTgg,Pizza,4.5,Antioch,Angelo's Picnic Pizza & Italian Restaurant,219
221,-zzAC2cpeUbr9QTwy59yvg,Burgers,2.0,Swansea,Wendy's,7
222,0-7N3z_cb3Z1xMGDrbez6w,Italian,4.0,Philadelphia,Le Virtu,389
223,0-BLZd37lMUODMuYAtKgkA,American (Traditional),2.5,Tucson,Moby's,62
224,0-JRAY0LpBazDuA9761U5w,Salad,4.0,Philadelphia,Pizzeria Vetri,313
225,0-XYsSxJhu8ayKx1f3v_tA,Coffee & Tea,4.0,Indianapolis,Cath Coffee & Tea House,19
226,0-pY7oEuTT6j9fa1k-YBnw,Breakfast & Brunch,4.5,West Chester,Roots Cafe,308
227,00eSqUS2r4pm0dFZhZ3d1g,Sandwiches,3.0,Warminster,HG Bucks Bagels,45
228,015DpGQSGAjbHfa7KE-p5A,Pizza,3.0,New Castle,Domino's Pizza,9
229,02Kx1YpAx6jm2AFKGHd4rg,Breakfast & Brunch,3.0,Tucson,All American Burger,22
230,03Z0iTZ29-Mh02OXE7sPBQ,Mexican,2.5,Philadelphia,Taco Bell,12
231,03an5ytHalUpCjfN8vcjRA,Burgers,1.5,Indianapolis,McDonald's,47
232,03dIEDBsDERr6Osmey-udQ,Seafood,4.0,Tampa,Steelbach at Armature Works,727
233,03eK3cN3PoumXIRs06nZnw,Salad,3.0,Reno,Pizza Baron - Reno,152
234,03sqfUjXdEtZCUxVFxXntQ,Japanese,4.5,Metairie,Fusion Cafe,95
235,04UWD_QOyfn-NxcQ04M0-g,Burgers,2.5,Tucson,Blake's Lotaburger,71
236,04WpqoyyuqX5IrgI-gAAeA,Mexican,2.5,Tampa,Chipotle Mexican Grill,138
237,04l8PYcuYQeEkEhJCbhtOA,Breakfast & Brunch,4.5,New Orleans,Ruby Slipper Cafe,788
238,04lEB3_tQGky8dq5kCa9Vg,Burgers,2.5,Indianapolis,Steak ’n Shake,49
239,05471AhNLv1NxKoaVs4gYw,Pizza,4.0,Ardmore,Sam's Brick Oven Pizza,80
240,059fmQtYFQv3-hINwfpGsw,Breakfast & Brunch,4.0,Nashville,Cafe Ma'kai,58
241,05dUFDFPr4St3SOi5t3fiA,Pizza,2.5,Port Richey,Little Caesars Pizza,10
242,05ev984NYfimRN0UiFrxaA,Nightlife,4.0,Philadelphia,Osteria,877
243,05tQr30d0SSHrahA4gV6Pw,American (New),4.5,Ferguson,Mimi’s Subway,5
244,06_ObrhBE8qd2puOu-lkiQ,American (Traditional),2.0,Indianapolis,Buffalo Wild Wings,162
245,06w-nCn3voKD69dxGxYn-A,Steakhouses,2.5,Indianapolis,Outback Steakhouse,90
246,06yarCUo6OBNAIagXjAp_w,Burgers,3.5,Kennett Square,Buddy's Burgers - Kennett Square,28
247,070Sixz8aXNoSbH0-49PDA,American (Traditional),3.5,Saint Charles,Waffle House,22
248,07D-uYB0PrSYUVpbKeojJA,Event Planning & Services,4.5,New Orleans,Windsor Court Hotel,202
249,07aiOK7W40KIAgEYeHES_Q,American (Traditional),2.5,Springfield,O'Charley's Restaurant & Bar,33
250,08LQAC48MVFa27YZKahEkg,Bars,3.5,Saint Louis,OB Clark's,98
251,09izIShLukoy36bBOWfKAg,Italian,3.5,Indianapolis,Graham’s Pizza,70
252,0A2w6ViIzZ-T-pB1a8da6A,Event Planning & Services,2.0,Chester Springs,Manhattan Bagel,32
253,0AG_tGzuGKpzqwy4daddCQ,Sandwiches,2.5,Trevose,PrimoHoagies,16
254,0AH7Sc_dLol7P4dYlO_jpg,Seafood,3.5,Metairie,Mr. Ed's Restaurant - Live Oak,83
255,0ALY2NFAhLWeWYw1bh3eJw,American (Traditional),3.0,Lithia,Cherry's,31
256,0AfjyySl4Rivh-QhWfrClA,Bars,4.5,St. Louis,58hundred,167
257,0Ayp1QNpRdtuU5aOYbc8_A,Mexican,4.0,Holiday,Taco Movil Mexican Food Truck,9
258,0B6JY3Ky8iB52-rPooB2Tw,Sandwiches,3.5,Nashville,Neighbors Germantown,66
259,0BXnGq6eJuiWR7270TipoA,Japanese,4.0,Tuscon,Sachiko Sushi,348
260,0BoRHt9GuiXzmvNmrBVMOw,Pizza,3.5,Clayton,Crushed Red,270
261,0CPhgQAtXvxsmyFNJah16w,American (Traditional),3.5,Ambler,Gypsy Blu,176
262,0CeDwvLyRVgr-fq-DHk1sQ,American (New),3.5,St. Louis,Lion's Choice,20
